step,demo_index,cfg_scale,control_scale,variant,row_type,variant_a,variant_b,control_input_rms,control_input_mean_abs,control_input_zero_ratio,forward_delta_rms,forward_delta_mean_abs,forward_delta_zero_ratio,forward_delta_frame_active_ratio,forward_delta_cosine,forward_delta_relative_l2_difference,audio_rms,audio_peak,audio_silence_ratio,low_band_ratio,mid_band_ratio,high_band_ratio,low_mid_band_ratio,spectral_centroid_hz,warning
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.6148625612258911,1.1281676292419434,0.0,2.8192692335574562e-14,0.0,1.0,2.8192692335574562e-14,17975.56347396299,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.7218286395072937,1.049460768699646,0.0,0.0,0.0,1.0,0.0,19951.852965473314,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,1.5987907648086548,3.126260995864868,0.0,3.0870309132829967e-16,0.0,1.0,3.0870309132829967e-16,11427.354187771818,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.7582119107246399,1.5299146175384521,0.0,4.8455151989863476e-14,0.0,1.0,4.8455151989863476e-14,11218.95734625924,
1,0,3.0,0.0,correct,variant,,,,,,,,,,,,1.0467449426651,1.5051052570343018,0.0,6.352919917174466e-16,0.0,1.0,6.352919917174466e-16,14596.99249774361,
1,0,3.0,0.0,zero,variant,,,,,,,,,,,,1.0467449426651,1.5051052570343018,0.0,6.352919917174466e-16,0.0,1.0,6.352919917174466e-16,14596.99249774361,
1,0,3.0,0.0,null,variant,,,,,,,,,,,,1.0467449426651,1.5051052570343018,0.0,6.352919917174466e-16,0.0,1.0,6.352919917174466e-16,14596.99249774361,
1,0,3.0,0.3,correct,variant,,,,,,,,,,,,1.0467449426651,1.5051052570343018,0.0,6.352919917174466e-16,0.0,1.0,6.352919917174466e-16,14596.99249774361,
1,0,3.0,0.3,zero,variant,,,,,,,,,,,,1.0467449426651,1.5051052570343018,0.0,6.352919917174466e-16,0.0,1.0,6.352919917174466e-16,14596.99249774361,
1,0,3.0,0.3,null,variant,,,,,,,,,,,,1.0467449426651,1.5051052570343018,0.0,6.352919917174466e-16,0.0,1.0,6.352919917174466e-16,14596.99249774361,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.3489809036254883,0.5406982898712158,0.0,3.1925890747362074e-14,0.0,1.0,3.1925890747362074e-14,11624.264840930517,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.7898241281509399,1.30784010887146,0.0,0.0,0.0,1.0,0.0,19510.108735785903,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.45318254828453064,0.7097591161727905,0.0,3.119003569379058e-15,0.0,1.0,3.119003569379058e-15,14340.431188526143,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.6186302900314331,1.0431493520736694,0.0,0.0,0.0,1.0,0.0,13350.751904980783,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.9289806485176086,1.206908106803894,0.0,7.916918780787324e-16,0.0,1.0,7.916918780787324e-16,17068.260795498016,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,1.0269999504089355,1.723828911781311,0.0,0.0,0.0,1.0,0.0,10146.185119367226,
1,0,3.0,0.0,correct,variant,,,,,,,,,,,,0.6464284658432007,1.245766520500183,0.0,4.512276430748815e-16,0.0,1.0,4.512276430748815e-16,12479.748307028913,
1,0,3.0,0.0,zero,variant,,,,,,,,,,,,0.6464284658432007,1.245766520500183,0.0,4.512276430748815e-16,0.0,1.0,4.512276430748815e-16,12479.748307028913,
1,0,3.0,0.0,null,variant,,,,,,,,,,,,0.6464284658432007,1.245766520500183,0.0,4.512276430748815e-16,0.0,1.0,4.512276430748815e-16,12479.748307028913,
1,0,3.0,0.3,correct,variant,,,,,,,,,,,,0.6464284658432007,1.245766520500183,0.0,4.512276430748815e-16,0.0,1.0,4.512276430748815e-16,12479.748307028913,
1,0,3.0,0.3,zero,variant,,,,,,,,,,,,0.6464284658432007,1.245766520500183,0.0,4.512276430748815e-16,0.0,1.0,4.512276430748815e-16,12479.748307028913,
1,0,3.0,0.3,null,variant,,,,,,,,,,,,0.6464284658432007,1.245766520500183,0.0,4.512276430748815e-16,0.0,1.0,4.512276430748815e-16,12479.748307028913,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,1.0619827508926392,1.7217133045196533,0.0,4.01541345736338e-15,0.0,1.0,4.01541345736338e-15,19021.528325658608,
